Symbol,Company Name,Bonus(%),Cash(%),Total(%),Announcement,Book Closure,Fiscal Year
MDB,Miteri Development B...,9.5079,0.50,10.01,"Nov 24, 2024","Dec 31, 2024",2080/2081
UMRH,United IDI Mardi RB ...,4,0.21,4.21,"Nov 22, 2024",Not Announced,2080/2081
KKBC,Kosh Bewasthapan Com...,0,15.79,15.79,"Nov 22, 2024",Not Announced,2080/2081
SSMJC,Sagarmatha Jalabidhy...,4.75,0.25,5.00,"Oct 25, 2024","Nov 11, 2024",2080/2081
NNMFBS,National Laghubitta ...,14.25,0.75,15.00,"Oct 25, 2024","Dec 3, 2024",2080/2081
IICRA,ICRA Nepal Limited,0,57.40,57.40,"Oct 25, 2024",Not Announced,2080/2081
SCB,Standard Chartered B...,6.5,19.00,25.50,"Nov 19, 2024","Nov 27, 2024",2080/2081
SHINE,Shine Resunga Develo...,3,5.00,8.00,"Nov 10, 2024","Dec 18, 2024",2080/2081
NABIL,Nabil Bank Limited,0,10.00,10.00,"Oct 30, 2024","Nov 25, 2024",2080/2081
BHDC,Bindhyabasini Hydrop...,8,0.00,8.00,"Oct 30, 2024","Nov 13, 2024",2080/2081
SHL,Soaltee Hotel Limite...,10,26.84,36.84,"Oct 30, 2024","Nov 28, 2024",2080/2081
FMDBL,First Microfinance L...,9,0.47,9.47,"Oct 30, 2024","Dec 8, 2024",2080/2081
PCBL,Prime Commercial Ban...,0,5.00,5.00,"Oct 27, 2024","Nov 24, 2024",2080/2081
NNMBCAP,NMB Capital Limited,0,17.00,17.00,"Oct 16, 2024",Not Announced,2080/2081
API,Api Power Company Lt...,5,0.26,5.26,"Oct 16, 2024","Oct 18, 2024",2080/2081
MMEDICARE,Medicare Hospital Li...,0,15.00,15.00,"Oct 9, 2024","Oct 28, 2024",2081/2082
PPRABHU,Prabhu Capital Limit...,0,7.37,7.37,"Oct 23, 2024",Not Announced,2080/2081
CCARE,Care Ratings Nepal L...,0,60.00,60.00,"Oct 23, 2024",Not Announced,2080/2081
SSSUL,Sundhara Securities ...,0,11.00,11.00,"Oct 22, 2024",Not Announced,2080/2081
HHBLCL,Himalayan Capital Li...,0,7.00,7.00,"Oct 22, 2024",Not Announced,2080/2081
SMB,Support Microfinance...,13.775,0.72,14.50,"Oct 21, 2024","Nov 29, 2024",2080/2081
RSDC,RSDC Laghubitta Bitt...,9.5,0.50,10.00,"Oct 18, 2024",Not Announced,2080/2081
MMaruti,Maruti Cements Limit...,0,4.00,4.00,"Oct 4, 2024",Not Announced,2080/2081
AHPC,Arun Valley Hydropow...,3,0.16,3.16,"Oct 4, 2024","Oct 21, 2024",2080/2081
FFOWAD,Forward Microfinance...,13.3,0.70,14.00,"Oct 2, 2024","Nov 29, 2024",2080/2081
RURU,Ru Ru Jalbidhyut Par...,15,0.79,15.79,"Sep 29, 2024","Oct 16, 2024",2081/2082
SANIMA,Sanima Bank Limited,0,5.26,5.26,"Oct 9, 2024","Nov 10, 2024",2080/2081
MMEDICARE,Medicare Hospital Li...,0,15.00,15.00,"Oct 9, 2024","Oct 28, 2024",2080/2081
GBIME,Global IME Bank Limi...,5.5,0.00,5.50,"Oct 8, 2024","Nov 24, 2024",2080/2081
H8020,Himalayan 80-20,0,6.00,6.00,"Oct 8, 2024","Oct 25, 2024",2080/2081
CCCAIL,Chartered Capital an...,5,0.26,5.26,"Oct 6, 2024",Not Announced,2081/2082
CCCAIL,Chartered Capital an...,5,0.26,5.26,"Oct 6, 2024",Not Announced,2080/2081
MMHL,Mandakini Hydropower...,5,0.26,5.26,"Sep 26, 2024","Nov 13, 2024",2080/2081
SMHL,Super Madi Hydropowe...,5,0.26,5.26,"Sep 25, 2024","Oct 4, 2024",2080/2081
UNL,Unilever Nepal Limit...,0,1714.00,1714.00,"Sep 25, 2024","Oct 14, 2024",2080/2081
SSHLTD,Shivam Holdings Limi...,0,2.50,2.50,"Sep 23, 2024",Not Announced,2080/2081
CMF1,Citizens Mutual Fund...,0,9.00,9.00,"Sep 29, 2024","Oct 9, 2024",2081/2082
RURU,Ru Ru Jalbidhyut Par...,15,0.79,15.79,"Sep 29, 2024","Oct 16, 2024",2080/2081
CMF1,Citizens Mutual Fund...,0,9.00,9.00,"Sep 29, 2024","Oct 9, 2024",2080/2081
CMF2,CITIZENS MUTUAL FUND...,0,6.50,6.50,"Sep 29, 2024","Oct 9, 2024",2080/2081
SWBBL,Swabalamban Laghubit...,14.25,0.75,15.00,"Sep 29, 2024","Oct 25, 2024",2080/2081
C30MF,Citizens Super 30 Mu...,0,10.00,10.00,"Sep 29, 2024","Oct 9, 2024",2080/2081
MHL,Mandakini Hydropower...,5,0.26,5.26,"Sep 26, 2024","Nov 13, 2024",2080/2081
CCHDC,CEDB Hydropower Deve...,11,0.00,11.00,"Sep 15, 2024","Sep 23, 2024",2080/2081
AAELTD,Aashutosh Energy Lim...,0,5.26,5.26,"Sep 15, 2024","Sep 28, 2024",2080/2081
