Symbol,Company Name,Bonus(%),Cash(%),Total(%),Announcement,Book Closure,Fiscal Year
EBL,Everest Bank Limited,10.0,50.53,60.53,"Sep 8, 2013","Sep 18, 2013",2069/2070
EBL,Everest Bank Limited,10.0,50.53,60.53,"Sep 8, 2013","Sep 18, 2013",2069/2070
EBL,Everest Bank Limited,30.0,1.58,31.58,"Oct 9, 2012","Oct 19, 2012",2068/2069
EBL,Everest Bank Limited,10.0,50.0,60.0,"Oct 7, 2011","Oct 17, 2011",2067/2068
EDBL,Excel Development Ba...,8.5,0.45,8.95,"Jul 2, 2022","Jul 12, 2022",2077/2078
EDBL,Excel Development Ba...,12.0,0.63,12.63,"Sep 7, 2021","Sep 17, 2021",2076/2077
EDBL,Excel Development Ba...,30.12,1.58,31.7,"Nov 11, 2017","Nov 21, 2017",2073/2074
EDBL,Excel Development Ba...,25.0,1.31,26.31,"Mar 10, 2017","Mar 20, 2017",2072/2073
EDBL,Excel Development Ba...,26.0,1.36,27.36,"Mar 19, 2016","Mar 29, 2016",2071/2072
EDBL,Excel Development Ba...,25.0,0.0,25.0,"Dec 21, 2012","Dec 31, 2012",2068/2069
